"No.","Time","Source","Destination","Protocol","Length","Info"
"6","2.068102","192.168.1.66","192.168.1.255","NBNS","92","Name query NB WPAD<00>"
"7","2.069298","192.168.1.66","224.0.0.252","LLMNR","64","Standard query 0x7e1d A wpad"
"8","2.079890","192.168.1.66","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"11","2.220885","192.168.1.66","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"14","2.469425","192.168.1.66","224.0.0.252","LLMNR","64","Standard query 0x7e1d A wpad"
"17","2.808255","192.168.1.66","192.168.1.255","NBNS","92","Name query NB WPAD<00>"
"21","3.046476","192.168.1.66","172.217.9.67","TCP","66","26699  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23","3.047045","192.168.1.66","172.217.9.67","TCP","66","26700  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"25","3.080646","192.168.1.66","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"26","3.080946","192.168.1.66","172.217.9.67","TCP","54","26699  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"27","3.081616","192.168.1.66","172.217.9.67","TLSv1.2","259","Client Hello"
"28","3.082513","192.168.1.66","172.217.9.67","TCP","54","26700  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"29","3.082892","192.168.1.66","172.217.9.67","TLSv1.2","259","Client Hello"
"30","3.085756","192.168.1.66","74.125.138.95","TCP","66","26701  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"31","3.086230","192.168.1.66","74.125.138.95","TCP","66","26702  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"33","3.119937","192.168.1.66","172.217.9.67","TCP","54","26699  >  443 [ACK] Seq=206 Ack=2861 Win=66048 Len=0"
"34","3.120445","192.168.1.66","172.217.9.67","TCP","54","26699  >  443 [ACK] Seq=206 Ack=4378 Win=66048 Len=0"
"35","3.129280","192.168.1.66","172.217.9.67","TCP","54","26700  >  443 [ACK] Seq=206 Ack=4379 Win=66048 Len=0"
"36","3.136676","192.168.1.66","74.125.138.95","TCP","54","26701  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
